Date,FCOM,FUTY,FXG,FXO,FXZ,IDU,IYC,IYR,IYW,PSCE,PSCF,PSCH,PSCU,PYZ,RHS,RYT,USRT,VCR,VGT,VHT,VIS,VOX,VPU,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,17.06966,18.988579,9.962534,20.766811,44.701092,15.146212,,14.291565,23.501083,24.143152
2000-01-04,,,,,,,,,,,,,,,,,,,,,,,,16.905344,18.631147,9.52701,20.193062,42.43327,14.719713,,13.860462,22.967794,23.416855
2000-01-05,,,,,,,,,,,,,,,,,,,,,,,,17.603737,19.12262,9.45215,20.103062,41.803299,14.979779,,14.210191,22.761766,23.128839
2000-01-06,,,,,,,,,,,,,,,,,,,,,,,,18.055649,19.859821,9.867239,20.373058,40.41745,15.260653,,14.185829,22.83452,23.391806
2000-01-07,,,,,,,,,,,,,,,,,,,,,,,,18.045374,20.072048,10.030557,21.149334,41.122986,16.228092,,14.307805,23.113235,24.493776
2000-01-10,,,,,,,,,,,,,,,,,,,,,,,,17.983755,19.904501,9.853654,21.149334,42.685249,15.863988,,14.356634,25.47669,24.368559
2000-01-11,,,,,,,,,,,,,,,,,,,,,,,,17.768066,19.926838,9.690328,20.879343,41.475758,15.863988,,14.202077,24.797962,24.230804
2000-01-12,,,,,,,,,,,,,,,,,,,,,,,,17.511303,19.837484,9.880871,20.631821,41.299324,15.947212,,14.055688,24.385916,24.093058
2000-01-13,,,,,,,,,,,,,,,,,,,,,,,,17.583199,20.183743,10.180292,21.025572,41.677334,16.030432,,13.925542,25.113123,24.218285
2000-01-14,,,,,,,,,,,,,,,,,,,,,,,,17.459951,20.060873,10.418434,20.879343,42.634869,16.082449,,14.039386,24.89493,24.155661
2000-01-18,,,,,,,,,,,,,,,,,,,,,,,,17.038862,20.306602,10.071415,20.856817,42.861607,15.811986,,13.982443,24.434397,24.01792
2000-01-19,,,,,,,,,,,,,,,,,,,,,,,,16.710211,20.239599,10.037359,20.789349,42.937237,15.926417,,13.990616,25.016163,23.967838
2000-01-20,,,,,,,,,,,,,,,,,,,,,,,,16.268576,20.239599,9.853654,20.654354,43.18922,15.70796,,14.055688,24.822241,23.64225
2000-01-21,,,,,,,,,,,,,,,,,,,,,,,,16.340466,20.798084,9.731138,20.395594,43.239613,15.531107,,14.511196,24.773764,23.153877
2000-01-24,,,,,,,,,,,,,,,,,,,,,,,,15.9091,20.060873,9.554235,19.81061,41.828533,15.083797,,14.315976,24.034372,22.289841
2000-01-25,,,,,,,,,,,,,,,,,,,,,,,,15.611252,20.016197,9.656274,19.69808,42.722996,14.896552,,13.982443,24.204098,22.427578
2000-01-26,,,,,,,,,,,,,,,,,,,,,,,,15.611252,19.703442,10.016973,19.855612,41.324577,15.031781,,13.917366,24.095032,22.590382
2000-01-27,,,,,,,,,,,,,,,,,,,,,,,,15.693419,19.301329,10.125854,19.968073,40.921398,15.312663,,13.827939,23.949585,22.527765
2000-01-28,,,,,,,,,,,,,,,,,,,,,,,,15.426379,19.077936,9.77199,19.43939,39.45993,15.187834,,13.754688,23.464773,21.638672
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,15.333945,19.524727,10.044189,19.57439,40.770222,15.468699,,14.389174,23.355633,21.80146
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,15.611252,19.480053,10.098638,19.43939,41.626945,15.312663,,14.283447,23.658705,22.590382
2000-02-02,,,,,,,,,,,,,,,,,,,,,,,,15.683153,19.602922,9.996552,19.450626,41.929321,15.343868,,14.210191,24.240467,22.440104
2000-02-03,,,,,,,,,,,,,,,,,,,,,,,,15.416109,19.368349,9.93531,19.43939,43.138821,15.135825,,14.185829,24.458597,22.527765
2000-02-04,,,,,,,,,,,,,,,,,,,,,,,,15.395579,18.80987,9.833225,19.518087,43.642769,15.125408,,14.112588,24.543459,22.490196
2000-02-07,,,,,,,,,,,,,,,,,,,,,,,,15.097728,19.022095,9.731138,19.18063,44.146748,15.104611,,14.071932,24.143509,22.014347
2000-02-08,,,,,,,,,,,,,,,,,,,,,,,,15.056637,18.854544,9.840018,19.259399,44.549896,15.291853,,14.104466,24.410124,22.515238
2000-02-09,,,,,,,,,,,,,,,,,,,,,,,,14.758791,18.229038,9.608672,19.056862,43.995564,15.156616,,14.104466,23.973789,22.139566
2000-02-10,,,,,,,,,,,,,,,,,,,,,,,,14.635543,18.60881,9.343268,18.730635,45.041183,14.646888,,13.901128,23.767763,21.939207
2000-02-11,,,,,,,,,,,,,,,,,,,,,,,,14.276085,18.385406,9.36369,18.336889,43.844368,14.366015,,13.657082,23.779875,21.626158
2000-02-14,,,,,,,,,,,,,,,,,,,,,,,,14.512303,18.675829,9.445352,18.629423,43.869522,14.438837,,13.673372,23.343538,21.73885
2000-02-15,,,,,,,,,,,,,,,,,,,,,,,,15.13881,19.457705,9.458939,18.955635,43.995564,14.761327,,13.640837,23.161715,21.788937
2000-02-16,,,,,,,,,,,,,,,,,,,,,,,,14.7896,19.547066,9.261605,18.910645,43.768719,14.553269,,13.583892,22.507265,20.93742
2000-02-17,,,,,,,,,,,,,,,,,,,,,,,,14.758791,19.524727,9.145935,18.989403,44.75148,14.334812,,13.502571,22.495152,20.336342
2000-02-18,,,,,,,,,,,,,,,,,,,,,,,,14.306886,18.955061,8.819294,18.573112,43.239613,14.168371,,13.006352,21.877012,20.035812
2000-02-22,,,,,,,,,,,,,,,,,,,,,,,,14.758791,18.787525,8.900953,18.876871,43.138821,14.39723,,12.957575,21.71946,20.085899
2000-02-23,,,,,,,,,,,,,,,,,,,,,,,,14.594467,18.296049,8.866892,18.730635,44.449104,14.085146,,12.689162,22.058828,20.023293
2000-02-24,,,,,,,,,,,,,,,,,,,,,,,,14.070672,18.094997,8.683189,18.561882,45.003464,13.793876,,12.266192,21.889105,19.384651
2000-02-25,,,,,,,,,,,,,,,,,,,,,,,,13.844719,17.737566,8.628753,18.235662,44.575062,13.450587,,12.20112,21.210373,19.45978
2000-02-28,,,,,,,,,,,,,,,,,,,,,,,,13.885801,18.27371,8.907746,18.291883,44.045933,13.710649,,12.550846,21.586123,20.16103
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,13.793372,18.69816,8.968979,18.494421,45.053875,13.65864,,12.640332,21.828527,20.586796
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,13.649573,19.167295,9.091493,18.393122,45.507427,13.533809,,13.193449,22.010345,20.348864
2000-03-02,,,,,,,,,,,,,,,,,,,,,,,,13.351734,19.524727,9.03705,18.460655,45.960983,13.565014,,13.535107,21.913389,20.323835
2000-03-03,,,,,,,,,,,,,,,,,,,,,,,,13.78309,19.211973,9.11871,18.966869,47.233448,13.492199,,13.657082,22.216381,20.699492
2000-03-06,,,,,,,,,,,,,,,,,,,,,,,,13.454436,19.100281,9.030213,18.8881,47.157818,13.169711,,13.274821,21.780041,20.211119
2000-03-07,,,,,,,,,,,,,,,,,,,,,,,,13.023074,20.418301,8.758013,18.134432,45.860203,12.462338,,13.120256,21.380095,19.64761
2000-03-08,,,,,,,,,,,,,,,,,,,,,,,,13.300383,20.083216,8.65597,18.325653,46.666531,12.847239,,13.209742,21.270956,19.885534
2000-03-09,,,,,,,,,,,,,,,,,,,,,,,,13.27983,20.105556,8.703574,18.516886,48.077606,13.190524,,13.315473,21.767948,20.286255
2000-03-10,,,,,,,,,,,,,,,,,,,,,,,,13.392812,19.837484,8.730792,18.561882,48.178391,13.034483,,13.315473,21.586123,20.010765
2000-03-13,,,,,,,,,,,,,,,,,,,,,,,,13.59822,19.547066,8.819294,18.280653,47.472866,12.826426,,13.356134,21.428577,19.847969
2000-03-14,,,,,,,,,,,,,,,,,,,,,,,,13.361994,19.792805,8.785232,18.179432,46.389309,12.753612,,13.26664,21.489155,19.885534
2000-03-15,,,,,,,,,,,,,,,,,,,,,,,,14.163113,19.703442,9.322837,18.910645,45.582977,13.565014,,13.33989,21.598225,21.08769
2000-03-16,,,,,,,,,,,,,,,,,,,,,,,,14.995019,20.552341,10.125854,19.934374,47.170483,14.147565,,13.860462,22.713287,22.640459
2000-03-17,,,,,,,,,,,,,,,,,,,,,,,,14.495262,19.926359,10.128827,19.907829,48.27919,14.088622,,13.971972,22.737562,22.697168
2000-03-20,,,,,,,,,,,,,,,,,,,,,,,,14.670278,19.612556,9.937585,20.020596,48.077606,13.963388,,13.914588,23.173897,22.483881
2000-03-21,,,,,,,,,,,,,,,,,,,,,,,,14.845289,20.240158,10.29961,20.448925,49.337502,14.224291,,13.824441,23.319336,22.734823
2000-03-22,,,,,,,,,,,,,,,,,,,,,,,,14.464377,20.083256,10.388389,20.358738,50.194241,14.109493,,13.504889,23.913212,22.63443
2000-03-23,,,,,,,,,,,,,,,,,,,,,,,,14.907062,20.060833,10.750365,20.832235,51.151756,13.994699,,13.734339,24.010176,22.697168
2000-03-24,,,,,,,,,,,,,,,,,,,,,,,,14.83499,20.105669,10.873328,20.956184,51.592651,13.744232,,13.603228,24.216196,22.772459
2000-03-27,,,,,,,,,,,,,,,,,,,,,,,,14.773234,20.172909,10.518167,20.696966,52.008472,13.566823,,13.79166,24.046556,22.709719
2000-03-28,,,,,,,,,,,,,,,,,,,,,,,,14.495262,20.083256,10.600131,20.640543,50.748581,13.723365,,13.726108,24.070755,22.785004
2000-03-29,,,,,,,,,,,,,,,,,,,,,,,,14.79381,21.136734,10.518167,20.899836,49.261864,14.057317,,13.971972,23.707184,23.236691
2000-03-30,,,,,,,,,,,,,,,,,,,,,,,,15.195317,21.136734,10.538623,21.035109,47.92643,14.245155,,13.939195,23.367821,23.751099
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,15.185024,21.024656,10.60695,21.068953,48.833542,14.172108,,14.021118,23.791967,23.500175
2000-04-03,,,,,,,,,,,,,,,,,,,,,,,,15.67918,21.383287,11.119204,21.15913,46.767323,14.819142,,14.111272,23.779875,24.202793
2000-04-04,,,,,,,,,,,,,,,,,,,,,,,,15.535049,21.114315,10.675223,20.922421,46.313751,15.236588,,14.307943,23.513254,23.901663
2000-04-05,,,,,,,,,,,,,,,,,,,,,,,,15.411515,20.486717,10.593263,20.843498,46.616146,15.027867,,14.496433,23.355633,23.939308
2000-04-06,,,,,,,,,,,,,,,,,,,,,,,,15.318864,21.024656,10.709407,21.023859,47.220882,14.756533,,14.586591,23.804144,24.190252
2000-04-07,,,,,,,,,,,,,,,,,,,,,,,,15.071779,20.699661,10.49085,21.339491,48.833542,14.568679,,14.545575,23.864721,24.190252
2000-04-10,,,,,,,,,,,,,,,,,,,,,,,,15.442394,20.397057,10.791364,21.373335,47.069698,14.933941,,14.512797,23.707184,24.754847
2000-04-11,,,,,,,,,,,,,,,,,,,,,,,,15.813011,20.755686,10.927967,21.632555,45.910583,15.194833,,14.889786,23.913212,24.93051
2000-04-12,,,,,,,,,,,,,,,,,,,,,,,,16.22481,20.935001,10.97574,21.249317,42.937237,15.372249,,15.020897,23.476881,24.880322
